prompt,response,instructions
"Player has 1752 hp and 46 mp. Enemy has 4612 hp and 241 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 2409 hp and 121 mp. Enemy has 1238 hp and 629 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 2920 hp and 115 mp. Enemy has 3828 hp and 726 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 1304 hp and 87 mp. Enemy has 3526 hp and 473 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 2458 hp and 149 mp. Enemy has 4360 hp and 362 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 587 hp and 119 mp. Enemy has 2262 hp and 124 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [meteor spell],You should use [cura spell] to heal more HP.
"Player has 1844 hp and 35 mp. Enemy has 2740 hp and 746 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [thunder spell],Consider using [blizzard spell] for more damage.
"Player has 833 hp and 40 mp. Enemy has 2940 hp and 96 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 2024 hp and 147 mp. Enemy has 2477 hp and 72 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 3142 hp and 44 mp. Enemy has 2544 hp and 460 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 2718 hp and 127 mp. Enemy has 1023 hp and 591 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 4870 hp and 137 mp. Enemy has 130 hp and 775 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 2307 hp and 29 mp. Enemy has 1192 hp and 702 mp. Available actions: attack, fire spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [fire spell] for more damage.
"Player has 3636 hp and 94 mp. Enemy has 290 hp and 510 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 1003 hp and 32 mp. Enemy has 659 hp and 19 mp. Available actions: attack, fire spell, thunder spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [thunder spell] for more damage.
"Player has 4087 hp and 62 mp. Enemy has 840 hp and 394 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 2165 hp and 123 mp. Enemy has 3353 hp and 523 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 3322 hp and 51 mp. Enemy has 1682 hp and 662 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 4673 hp and 23 mp. Enemy has 1283 hp and 108 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 1080 hp and 52 mp. Enemy has 2823 hp and 485 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 2722 hp and 78 mp. Enemy has 663 hp and 24 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 1937 hp and 4 mp. Enemy has 4499 hp and 556 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],Consider using [grenade] for more damage.
"Player has 2374 hp and 107 mp. Enemy has 4287 hp and 774 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 4124 hp and 32 mp. Enemy has 241 hp and 53 mp. Available actions: attack, fire spell, thunder spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [attack],Consider using [thunder spell] for more damage.
"Player has 4996 hp and 52 mp. Enemy has 3657 hp and 249 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 4564 hp and 143 mp. Enemy has 4612 hp and 670 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 3940 hp and 63 mp. Enemy has 286 hp and 563 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 1929 hp and 127 mp. Enemy has 2102 hp and 715 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 1564 hp and 3 mp. Enemy has 4941 hp and 430 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [elixer],Consider using [grenade] for more damage.
